1BB	100.0%, Any two	100.0%, Any two	100.0%, Any two	100.0%, Any two	100.0%, Any two	100.0%, Any two	100.0%, Any two	100.0%, Any two
2BB	100.0%, Any two	84.6%, 22+ Tx+ 92s+ 95o+ 82s+ 85o+ 73s+ 75o+ 62s+ 64o+ 52s+ 54o 43s 	85.2%, 22+ Jx+ T2s+ T3o+ 92s+ 95o+ 82s+ 85o+ 72s+ 74o+ 62s+ 64o+ 52s+ 54o 42s+ 	78.3%, 22+ Qx+ J2s+ J3o+ T2s+ T6o+ 92s+ 96o+ 82s+ 85o+ 73s+ 75o+ 63s+ 65o 52s+ 54o 42s+ 	71.6%, 22+ Kx+ Q2s+ Q3o+ J2s+ J5o+ T2s+ T6o+ 92s+ 96o+ 84s+ 86o+ 73s+ 76o 63s+ 65o 53s+ 43s 	71.3%, 22+ Kx+ Q2s+ Q3o+ J2s+ J6o+ T2s+ T6o+ 92s+ 96o+ 83s+ 86o+ 73s+ 76o 63s+ 65o 52s+ 43s 	65.6%, 22+ Kx+ Q2s+ Q5o+ J2s+ J7o+ T2s+ T7o+ 93s+ 97o+ 84s+ 86o+ 74s+ 76o 63s+ 65o 53s+ 43s 	65.6%, 22+ Kx+ Q2s+ Q5o+ J2s+ J7o+ T2s+ T7o+ 93s+ 97o+ 84s+ 86o+ 74s+ 76o 63s+ 65o 53s+ 43s
3BB	94.6%, 22+ 8x+ 72s+ 73o+ 62s+ 63o+ 52s+ 53o+ 42s+ 32s 	65.6%, 22+ Qx+ J2s+ J5o+ T3s+ T6o+ 95s+ 97o+ 85s+ 87o 75s+ 65s 54s 	56.3%, 22+ Kx+ Q2s+ Q5o+ J3s+ J7o+ T5s+ T8o+ 95s+ 98o 85s+ 75s+ 65s 	50.5%, 22+ Ax+ K2s+ K4o+ Q2s+ Q7o+ J4s+ J8o+ T6s+ T8o+ 96s+ 98o 86s+ 75s+ 65s 	50.5%, 22+ Ax+ K2s+ K4o+ Q2s+ Q8o+ J3s+ J8o+ T6s+ T8o+ 96s+ 98o 85s+ 75s+ 65s 54s 	45.1%, 22+ Ax+ K2s+ K6o+ Q3s+ Q8o+ J5s+ J8o+ T6s+ T9o 96s+ 86s+ 76s 65s 	39.7%, 22+ Ax+ K2s+ K8o+ Q4s+ Q9o+ J7s+ J9o+ T7s+ T9o 97s+ 86s+ 76s 	38.2%, 22+ Ax+ K2s+ K9o+ Q5s+ Q9o+ J7s+ J9o+ T7s+ T9o 97s+ 87s 76s
4BB	90.3%, 22+ 9x+ 82s+ 83o+ 72s+ 74o+ 62s+ 64o+ 52s+ 54o 43s 	54.4%, 22+ Kx+ Q2s+ Q5o+ J4s+ J7o+ T6s+ T8o+ 96s+ 98o 86s+ 76s 	50.5%, 22+ Ax+ K2s+ K3o+ Q2s+ Q7o+ J5s+ J8o+ T6s+ T8o+ 96s+ 98o 86s+ 76s 	42.7%, 22+ Ax+ K2s+ K5o+ Q4s+ Q8o+ J7s+ J9o+ T7s+ T9o 97s+ 87s 	38.8%, 22+ Ax+ K2s+ K7o+ Q5s+ Q9o+ J7s+ J9o+ T7s+ 97s+ 87s 	33.0%, 22+ Ax+ K4s+ K9o+ Q6s+ QTo+ J8s+ JTo T8s+ 98s 	33.3%, 22+ Ax+ K3s+ K9o+ Q6s+ QTo+ J8s+ JTo T8s+ 98s 	31.5%, 22+ A2s+ A3o+ K4s+ K9o+ Q8s+ QTo+ J8s+ JTo T8s+ 98s
5BB	84.9%, 22+ Tx+ 92s+ 93o+ 82s+ 84o+ 73s+ 75o+ 63s+ 65o 53s+ 43s 	50.5%, 22+ Kx+ Q2s+ Q6o+ J5s+ J8o+ T6s+ T8o+ 97s+ 87s 	45.4%, 22+ Ax+ K2s+ K4o+ Q3s+ Q8o+ J6s+ J8o+ T7s+ T9o 97s+ 87s 76s 	36.7%, 22+ Ax+ K2s+ K7o+ Q6s+ Q9o+ J8s+ JTo T8s+ 98s 87s 	33.0%, 22+ Ax+ K3s+ K9o+ Q7s+ QTo+ J8s+ JTo T8s+ 98s 	31.5%, 22+ Ax+ K5s+ K9o+ Q8s+ QTo+ J9s+ JTo T9s 98s 	28.5%, 22+ A2s+ A4o+ K5s+ KTo+ Q8s+ QTo+ J9s+ JTo T9s 	25.5%, 22+ A2s+ A7o+ A5o K6s+ KTo+ Q8s+ QTo+ J9s+ T9s
6BB	84.6%, 22+ Tx+ 92s+ 94o+ 82s+ 85o+ 73s+ 75o+ 62s+ 65o 52s+ 54o 43s 	50.8%, 22+ Kx+ Q2s+ Q6o+ J5s+ J8o+ T7s+ T8o+ 97s+ 86s+ 76s 	40.0%, 22+ Ax+ K2s+ K6o+ Q5s+ Q9o+ J7s+ J9o+ T7s+ 97s+ 87s 76s 	33.9%, 22+ Ax+ K3s+ K9o+ Q7s+ QTo+ J8s+ JTo T8s+ 97s+ 87s 76s 	33.0%, 22+ Ax+ K4s+ K9o+ Q8s+ QTo+ J8s+ JTo T8s+ 98s 87s 76s   	29.1%, 22+ A2s+ A4o+ K6s+ KTo+ Q9s+ QTo+ J8s+ JTo T8s+ 98s 87s 	25.2%, 22+ A2s+ A7o+ A5o K6s+ KTo+ Q9s+ QJo J9s+ T8s+ 98s 87s 	22.5%, 22+ A2s+ A8o+ K8s+ KTo+ Q9s+ QJo J9s+ T8s+ 98s
7BB	83.7%, 22+ Tx+ 92s+ 95o+ 82s+ 85o+ 73s+ 75o+ 63s+ 65o 52s+ 54o 42s+ 	46.6%, 22+ Kx+ Q3s+ Q8o+ J7s+ J9o+ T7s+ T9o 97s+ 86s+ 76s 65s 	39.4%, 22+ Ax+ K2s+ K7o+ Q6s+ Q9o+ J7s+ JTo T7s+ T9o 97s+ 86s+ 76s 65s 	33.0%, 22+ Ax+ K5s+ K9o+ Q8s+ QTo+ J8s+ JTo T8s+ 97s+ 87s 76s 	30.9%, 22+ Ax+ K6s+ KTo+ Q9s+ QTo+ J8s+ JTo T8s+ 98s 87s 	25.2%, 22+ A2s+ A7o+ A5o K7s+ KTo+ Q9s+ QJo J8s+ T8s+ 98s 87s 	22.5%, 22+ A2s+ A8o+ K8s+ KTo+ Q9s+ QJo J9s+ T8s+ 98s 	19.8%, 22+ A3s+ A9o+ K9s+ KJo+ Q9s+ QJo J9s+ T9s 98s
8BB	78.3%, 22+ Jx+ T2s+ T4o+ 92s+ 96o+ 83s+ 86o+ 73s+ 75o+ 63s+ 65o 53s+ 43s	45.7%, 22+ Ax+ K2s+ K3o+ Q4s+ Q8o+ J7s+ J9o+ T7s+ T9o 96s+ 86s+ 76s 65s 	34.2%, 22+ Ax+ K4s+ K9o+ Q8s+ QTo+ J8s+ JTo T7s+ 97s+ 86s+ 76s 65s 	31.5%, 22+ Ax+ K6s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 98s 87s 76s 	27.0%, 22+ A2s+ A4o+ K7s+ KTo+ Q9s+ QJo J8s+ T8s+ 98s 87s 	23.4%, 22+ A2s+ A8o+ K7s+ KTo+ Q9s+ QJo J8s+ T8s+ 98s 87s 	19.8%, 22+ A3s+ A9o+ K9s+ KJo+ Q9s+ QJo J9s+ T9s 98s 	18.3%, 22+ A7s+ A5s-A4s ATo+ K9s+ KJo+ Q9s+ QJo J9s+ T9s 98s
9BB	75.0%, 22+ Jx+ T2s+ T6o+ 92s+ 96o+ 84s+ 86o+ 74s+ 76o 63s+ 65o 53s+ 43s 	43.0%, 22+ Ax+ K2s+ K5o+ Q5s+ Q9o+ J7s+ J9o+ T7s+ T9o 96s+ 86s+ 76s 65s 54s 	34.2%, 22+ Ax+ K4s+ K9o+ Q8s+ QTo+ J8s+ JTo T7s+ 97s+ 86s+ 76s 65s 	30.0%, 22+ Ax+ K6s+ KTo+ Q9s+ QJo J8s+ JTo T8s+ 98s 87s 	25.2%, 22+ A2s+ A7o+ K7s+ KTo+ Q9s+ QJo J8s+ JTo T8s+ 98s 87s 	20.7%, 22+ A2s+ A9o+ K9s+ KJo+ Q9s+ QJo J8s+ T8s+ 98s 	19.2%, 22+ A7s+ A5s-A3s ATo+ K8s+ KJo+ Q9s+ QJo J9s+ T8s+ 98s 	16.4%, 22+ A8s+ A5s ATo+ K9s+ KJo+ Q9s+ J9s+ T9s
10BB	71.9%, 22+ Qx+ J2s+ J4o+ T2s+ T6o+ 93s+ 96o+ 84s+ 86o+ 74s+ 76o 63s+ 53s+ 43s 	42.7%, 22+ Ax+ K2s+ K6o+ Q5s+ Q9o+ J7s+ J9o+ T6s+ T9o 96s+ 86s+ 75s+ 65s 54s	33.0%, 22+ Ax+ K5s+ KTo+ Q8s+ QTo+ J8s+ JTo T7s+ 97s+ 86s+ 76s 65s 	29.7%, 22+ A2s+ A4o+ K7s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 97s+ 87s 76s 	24.3%, 22+ A2s+ A8o+ K7s+ KTo+ Q9s+ QJo J8s+ JTo T8s+ 98s 87s 	19.8%, 22+ A7s+ A5s-A3s A9o+ K9s+ KJo+ Q9s+ QJo J9s+ T8s+ 98s 	18.3%, 22+ A7s+ A5s-A4s ATo+ K9s+ KJo+ Q9s+ QJo J9s+ T9s 98s 	14.6%, 22+ A9s+ ATo+ K9s+ KQo Q9s+ JTs T9s
11BB	71.9%, 22+ Qx+ J2s+ J5o+ T2s+ T6o+ 93s+ 96o+ 84s+ 86o+ 74s+ 76o 63s+ 65o 53s+ 43s 	39.7%, 22+ Ax+ K2s+ K8o+ Q5s+ Q9o+ J7s+ JTo T7s+ T9o 96s+ 86s+ 75s+ 65s 54s 	32.1%, 22+ Ax+ K5s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 97s+ 87s 76s 	27.3%, 22+ A2s+ A4o+ K9s+ KTo+ Q9s+ QJo J8s+ JTo T8s+ 98s 87s 	22.5%, 22+ A2s+ A9o+ K9s+ KTo+ Q9s+ QJo J8s+ JTo T8s+ 98s 	18.6%, 22+ A7s+ A5s-A3s ATo+ K9s+ KJo+ Q9s+ QJo J9s+ T9s 98s 	16.4%, 22+ A8s+ A5s ATo+ K9s+ KJo+ Q9s+ J9s+ T9s 	13.7%, 22+ A9s+ A5s AJo+ K9s+ KQo QTs+ JTs T9s
12BB	65.6%, 22+ Qx+ J2s+ J7o+ T3s+ T7o+ 95s+ 97o+ 84s+ 87o 74s+ 76o 63s+ 53s+ 43s 	39.7%, 22+ Ax+ K2s+ K8o+ Q6s+ QTo+ J7s+ J9o+ T6s+ T9o 96s+ 86s+ 75s+ 65s 54s 	31.8%, 22+ Ax+ K6s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 97s+ 87s 76s 	26.4%, 22+ A2s+ A7o+ A5o K7s+ KTo+ Q8s+ QJo J8s+ JTo T8s+ 98s 87s 	19.8%, 22+ A3s+ A9o+ K9s+ KJo+ Q9s+ QJo J9s+ T9s 98s 	17.6%, 22+ A8s+ A5s ATo+ K9s+ KJo+ Q9s+ QJo J9s+ T9s 98s 	13.7%, 22+ A9s+ AJo+ K9s+ KQo Q9s+ JTs T9s 	13.3%, 33+ A9s+ A5s AJo+ K9s+ KQo QTs+ JTs T9s
13BB	65.6%, 22+ Kx+ Q2s+ Q3o+ J2s+ J7o+ T3s+ T7o+ 95s+ 97o+ 84s+ 86o+ 74s+ 76o 63s+ 53s+ 43s 	36.7%, 22+ Ax+ K3s+ K9o+ Q6s+ QTo+ J7s+ JTo T7s+ T9o 96s+ 86s+ 76s 65s 	31.2%, 22+ Ax+ K7s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 97s+ 87s 	25.2%, 22+ A2s+ A8o+ K7s+ KTo+ Q9s+ QTo+ J8s+ JTo T8s+ 98s 87s 	19.8%, 22+ A7s+ A5s-A3s ATo+ K7s+ KJo+ Q9s+ QJo J8s+ T8s+ 98s 	16.4%, 22+ A8s+ A5s ATo+ K9s+ KJo+ Q9s+ J9s+ T9s 	13.7%, 22+ A9s+ A5s AJo+ K9s+ KQo QTs+ JTs T9s 	11.8%, 55+ A9s+ A5s AJo+ KTs+ KQo QTs+ JTs
14BB	63.5%, 22+ Kx+ Q2s+ Q4o+ J2s+ J7o+ T3s+ T7o+ 95s+ 97o+ 84s+ 87o 74s+ 76o 64s+ 53s+ 43s 	36.3%, 22+ Ax+ K4s+ K9o+ Q6s+ QTo+ J7s+ JTo T7s+ T9o 96s+ 86s+ 76s 65s 	30.0%, 22+ A2s+ A3o+ K7s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 98s 87s 	23.1%, 22+ A2s+ A9o+ K7s+ KTo+ Q9s+ QJo J8s+ JTo T8s+ 98s 	18.6%, 22+ A7s+ A5s-A4s ATo+ K8s+ KJo+ Q9s+ QJo J9s+ T9s 98s 	15.2%, 22+ A9s+ A5s ATo+ K9s+ KQo Q9s+ J9s+ T9s 	13.3%, 33+ A9s+ A5s AJo+ K9s+ KQo QTs+ JTs T9s 	10.3%, 55+ ATs+ AJo+ KTs+ QTs+ JTs
15BB	61.1%, 22+ Kx+ Q2s+ Q5o+ J2s+ J8o+ T4s+ T7o+ 95s+ 97o+ 85s+ 87o 74s+ 76o 64s+ 53s+ 43s 	36.3%, 22+ Ax+ K4s+ K9o+ Q6s+ QTo+ J7s+ JTo T7s+ T9o 96s+ 86s+ 76s 65s 	30.9%, 22+ A2s+ A3o+ K6s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 97s+ 87s 76s 	21.9%, 22+ A2s+ A9o+ K8s+ KJo+ Q9s+ QJo J8s+ JTo T8s+ 98s 	17.6%, 22+ A8s+ A5s ATo+ K9s+ KJo+ Q9s+ QJo J9s+ T9s 98s 	14.9%, 22+ A9s+ A5s ATo+ K9s+ KQo QTs+ J9s+ T9s 	12.1%, 55+ A9s+ A5s AJo+ K9s+ KQo QTs+ JTs 	10.4%, 88+ A9s+ A5s AJo+ KTs+ KQo QTs+ JTs
16BB	56.6%, 22+ Kx+ Q2s+ Q7o+ J3s+ J8o+ T5s+ T8o+ 95s+ 97o+ 85s+ 87o 74s+ 64s+ 53s+ 	34.2%, 22+ Ax+ K5s+ KTo+ Q8s+ QTo+ J7s+ JTo T7s+ T9o 97s+ 86s+ 76s 65s 	28.2%, 22+ A2s+ A7o+ A5o-A4o K7s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 98s 87s 	19.8%, 22+ A7s+ A5s-A3s ATo+ K8s+ KJo+ Q8s+ QJo J8s+ T8s+ 98s   	16.7%, 22+ A8s+ A5s-A4s ATo+ K9s+ KJo+ Q9s+ J9s+ T9s	13.1%, 22+ A9s+ AJo+ K9s+ KQo QTs+ JTs 	11.3%, 55+ A9s+ A5s AJo+ KTs+ KQo QTs+ JTs 	10.0%, 99+ A9s+ A5s AJo+ KTs+ KQo QTs+ JTs
17BB	55.4%, 22+ Kx+ Q2s+ Q8o+ J4s+ J8o+ T5s+ T8o+ 95s+ 98o 85s+ 87o 74s+ 76o 64s+ 53s+ 	33.3%, 22+ Ax+ K5s+ KTo+ Q8s+ QTo+ J7s+ JTo T7s+ 97s+ 86s+ 76s 65s 	27.9%, 22+ A2s+ A7o+ A5o K6s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 97s+ 87s   	19.8%, 22+ A7s+ A5s-A3s ATo+ K8s+ KJo+ Q8s+ QJo J8s+ T8s+ 98s 	15.2%, 22+ A9s+ A5s ATo+ K9s+ KQo Q9s+ J9s+ T9s 	13.7%, 44+ A9s+ A5s-A4s AJo+ K9s+ KJo+ QTs+ JTs 	10.4%, 88+ A9s+ A5s AJo+ KTs+ KQo QTs+ JTs 	7.5%, 99+ ATs+ A5s AQo+ KTs+ QTs+
18BB	54.4%, 22+ Kx+ Q2s+ Q8o+ J4s+ J8o+ T5s+ T8o+ 95s+ 98o 85s+ 87o 74s+ 64s+ 53s+ 	33.0%, 22+ Ax+ K5s+ KTo+ Q8s+ QTo+ J8s+ JTo T7s+ 97s+ 86s+ 76s 65s 	27.0%, 22+ A2s+ A7o+ K6s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 97s+ 87s 	18.6%, 22+ A7s+ A5s-A4s ATo+ K8s+ KJo+ Q9s+ QJo J9s+ T9s 98s   	15.2%, 22+ A9s+ A5s ATo+ K9s+ KQo Q9s+ J9s+ T9s 	11.3%, 55+ A9s+ A5s AJo+ KTs+ KQo QTs+ JTs 	10.0%, 99+ A9s+ A5s AJo+ KTs+ KQo QTs+ JTs 	7.4%, TT+ ATs+ AJo+ KTs+ QJs
19BB	53.2%, 22+ Kx+ Q2s+ Q8o+ J4s+ J9o+ T6s+ T8o+ 95s+ 98o 85s+ 87o 74s+ 64s+ 53s+ 	33.0%, 22+ Ax+ K5s+ KTo+ Q8s+ QTo+ J8s+ JTo T7s+ 97s+ 86s+ 76s 65s 	25.8%, 22+ A2s+ A8o+ K6s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 98s 87s 	17.6%, 22+ A8s+ A5s ATo+ K9s+ KJo+ Q9s+ QJo J9s+ T9s 98s 	14.9%, 22+ A8s+ A5s-A4s AJo+ K9s+ KQo Q9s+ J9s+ T9s 	10.3%, 55+ ATs+ AJo+ KTs+ QTs+ JTs 	9.7%, 99+ ATs+ A5s AJo+ KTs+ KQo QTs+ JTs 	7.4%, TT+ ATs+ AJo+ KTs+ QJs
20BB	51.7%, 22+ Ax+ K2s+ K3o+ Q2s+ Q8o+ J5s+ J9o+ T6s+ T8o+ 95s+ 98o 85s+ 87o 74s+ 64s+ 54s 	32.1%, 22+ Ax+ K6s+ KTo+ Q8s+ QTo+ J8s+ JTo T7s+ 97s+ 87s 76s 	23.4%, 22+ A2s+ A9o+ K7s+ KTo+ Q8s+ QJo J8s+ JTo T8s+ 98s 	16.7%, 22+ A8s+ A5s-A4s ATo+ K9s+ KJo+ Q9s+ J9s+ T9s 	13.7%, 22+ A9s+ A5s-A4s AJo+ K9s+ KQo QTs+ JTs 	10.4%, 88+ A9s+ A5s AJo+ KTs+ KQo QTs+ JTs 	8.4%, 99+ ATs+ A5s AJo+ KTs+ QTs+ 	5.9%, TT+ ATs+ AQo+ KJs+